zh-CN,
NyantopiaFirstEvent_Start_desc,你穿越小巷，微微湿润的古老石板路稳重地托起你静悄悄的脚步。小巷的尽头霎然变得开阔，你踩在铺路石边缘一丛青苔上踉跄了一下，发现自己来到一个广场。<br>广场周围一间间风格各异的店铺挤挤挨挨地靠在一起——当然，已经全部打烊了。夜雾让路灯暖黄的光线变得朦胧，像水彩纸上洇开的颜料。你看不太清店铺的招牌，但行人道内侧有不少被整整齐齐倒扣在桌面上的餐椅。你由那片微型椅子腿森林推测这里应该有不少餐厅。<br>你的肚子突然咕噜噜叫了一声，这让你后知后觉地意识到饥饿正从你胃里伸出它尖利的小爪子。意外来到陌生地点的兴奋与疑惑迟钝了你的感官，让你刚刚短暂地忽略了自己饥寒交迫的处境。<br><br>饥饿驱使你采取下一步行动。<br><br>
NyantopiaFirstEvent_Start_option1,凑近店铺橱窗观察
NyantopiaFirstEvent_Start_option2,走近行人道试图寻求帮助
NyantopiaFirstEvent_Shopwindow_desc,你径直走过夜晚安静的广场，来到离你最近的一家面包店门前。门面旁的黑暗中似乎有亮晶晶的猫眼一闪而过，你听见野猫跳上垃圾箱盖的金属闷响。<br>店门口的招牌小黑板上写着“今日特供：熏鲑鱼三明治”，旁边用粉笔画着一个张嘴傻笑的三明治，线条生动简洁。你看了看面包胚里用粉红色粉笔勾勒出的熏鱼肉，不禁咽了口口水。<br>店里熄了灯，你一边把脸贴在凉凉的玻璃橱窗上，眯着眼往店里瞧，一边盘算着能不能拿身上的什么小玩意儿和店主换点吃的。店里乳白色的货架和玻璃橱在阴影中影影绰绰，路灯投下的亮白方块里，一只被做成猫咪形状的挂钟煞有其是地晃动着猫尾钟摆。<br>正当你站在咖啡色门垫上望着黄铜门铃踌躇着要不要吵醒店主时，你听到身后传来一个柔和的声音。<br><br>
NyantopiaFirstEvent_Shopwindow_option1,回头
NyantopiaFirstEvent_Lookback_desc,你转过身去，看见一位抱着一只热腾腾纸袋的娇小女性。<<he>>有着草莓红的眼睛，黑发绾在脸颊两侧，在昏暗的光线里闪烁着丝缎般的光泽。“你好，我想……或许你需要帮助？”<<he>>走近你，轻声询问道。<br>你不确定是否应该回应一个陌生人的搭话，但是<<he>>身上有一种奇异的亲和力——<<he>>的面容清秀稚美，看着你的眼神却有一种经历过时光沉淀的温柔关切，以至于你无法判断出<<he>>的真实年龄。<br><br>
NyantopiaFirstEvent_Lookback_option1,含糊其辞
NyantopiaFirstEvent_Lookback_option2,吐露你的处境
NyantopiaFirstEvent_Deceive_desc,你觉得一个陌生人大抵不会相信时空穿越之类的说辞，而随意相信一个陌生人也不会有什么好下场，于是你试图编点什么糊弄过去。<br><<he>>在你试图解释为什么在这个时间出现在这里时一言不发，只是温和而专注地静静看着你。在耐心地等你编完谎话之后，<<he>>从纸袋子里拿出一只热乎乎、圆胖胖的咖喱餐包递给你。“真抱歉，这个点只有便利商店里微波炉加热过的点心了，别嫌弃。你看起来饿坏了。”<br>热乎乎的食物香气让你忍不住抽动了一下鼻尖，你的肚子跟着发出老大一声叫唤。你感到你的脸颊滚烫起来，但<<he>>体贴清了清嗓子，装作什么也没有听见。你感激地接过餐包大口大口地吃了起来。<br>粗糙而简单的美味，你的胃感到暖洋洋的。陌生人微笑着看着你狼吞虎咽，<<he>>的笑容让你感到身体里涌出更多暖意。<br>“别介意，但我看得出来，你似乎没地方可以落脚。不嫌弃的话，暂时住到我们那儿吧。”<br>尽管<<he>>表现得如此温柔亲切，但是你仍无法确定这个神秘的陌生人是否值得相信。不过这确实是个转机——找个地方先安顿下来，然后再做打算。毕竟眼下身无分文地在这个陌生的小城里孤身一人，你似乎也没有更好的去处了。<br><br>
NyantopiaFirstEvent_Deceive_option1,跟着<<he>>走
NyantopiaFirstEvent_Confess_desc,你觉得情况已然不可能更糟，而且面前这位神秘的陌生人看起来比你以往认识的所有人都更友善可信。你向<<he>>坦白了你目前口袋空空又无处可去的状况。<br><<he>>皱着眉同情地点了点头，没有思索太久就开口建议道：“既然这样，你要不要先到我们那儿落脚？我们还有个小一点的空房间，在找到其他更好的去处前，你都可以和我们呆在一起。”<<he>>的态度坦率自然，仿佛每周都能在深夜的广场上捡到半打来历不明的流浪者。<br>你看着面前看似毫无威胁的美丽陌生人，心中有些摇摆，不敢相信这从天而降的幸运。但你眼下身无分文地在这个陌生的小城里孤身一人，似乎也没有更好的去处了。<br><br>
NyantopiaFirstEvent_Confess_option1,跟着<<he>>走
NyantopiaFirstEvent_Follow_desc,你跟在<<he>>身后。<<he>>的步子小而轻快，时不时微微偏过头确认你有没有好好跟上。<br><<he>>领着你来到广场西面一幢温馨的小房子前，从外衣的口袋里掏出钥匙。这幢双层小屋有着漂亮的砖红色房顶和淡蓝色遮阳帘，门口长方形花坛里，长势喜人的淡粉小花在夜风中摇晃着。<br>“请进来吧，”<<he>>打开了门，“似乎忘了自我介绍，你叫我宫子就好。”<br>你进了门，感觉暖融融的甜蜜空气扑上脸颊——似乎是青草味的香薰。宫子打开了门边的小灯，你借助暖黄灯光看清，门边的雨伞架里装着一把素雅的油纸伞和一把带着猫耳朵的粉红儿童伞，玄关的地垫上拿毛毡戳着两个有点粗糙的简笔画小人。你分辨出，那个有着草莓红眼睛的应该是宫子，<<he>>的旁边贴着另一个绿眼睛黑卷发的女孩。<br>“请小声点，我的妹妹这个点应该已经睡着了，我明天再向你介绍<<he>>。”宫子凑近你，压低声音说道。你的耳畔感受到<<he>>说话间微弱的温热吐息。“来吧，我带你去你的房间。”<br><br>
NyantopiaFirstEvent_Follow_option1,继续
NyantopiaFirstEvent_Continue1_desc,你跟着宫子摸黑走过光洁的木质地板，<<he>>领着你上了楼，带着你来到二楼靠内侧的一扇门前。“二楼没有浴室，如果想要洗澡的话就得去一楼。”宫子一边细声细气地向你说明，一边拿钥匙打开了房门。<br>一间贴着青苹果绿墙纸的温馨小房间出现在你面前。房间打扫得很干净，临街的一面有一个显眼的大窗台，挂着米白色的窗帘。窗台上有一盆吊兰，叶子已经快垂到地上了。房间里只有一张简单的木床和一只五斗柜，中央摆着一只矮几和几个圆形的手工坐垫。<br>你在宫子的示意下走进了房间。<<he>>消失在门后，但很快又抱着毛线毯和枕头走进来。“地方不怎么宽绰，但还算舒适，希望你可以好好休息一下。你应该累坏了吧？”<<he>>麻利地三下五除二替你铺好了床，把枕头拍得胖胖软软地靠在床头。<br>你谢过<<he>>，<<he>>微笑着向你点点头，“厨房在楼梯靠右手边，往小花园走的那个方向。明早你起来后可以到厨房来和我们一起吃早饭。”<<he>>犹豫了一会，上前来伸出手，温柔地拍了拍你的头，你感觉那只手是如此暖和而柔软，“别担心，这里很安全。晚安！”<br>宫子在离开前贴心地替你把房间的顶灯调暗了一档，并轻轻带上了门。<br>短时间内发生的事情太多，你一时无法消化。宫子替你铺好的床看起来非常柔软，你无法抵挡地躺了上去。<br>你的眼皮越来越沉……<br><br>
NyantopiaFirstEvent_Continue1_option1,继续
NyantopiaFirstEvent_Continue2_desc,你睡醒后感到精力充沛。这时天已经大亮了，清晨的阳光和街道上早起的商户们作着营业准备的响动一起映入房间。你下床拉开了窗帘，探头向外张望。<br>昨天夜里安静沉默的小城此时睡眼朦胧地梳洗着。商户们忙着打扫店铺，擦亮橱窗。各色遮阳帘在晨风中舒展地微微起伏着，像五颜六色的蝴蝶振翅。你看到昨天张望过的那家面包店，店主人走出来重新书写了招牌小黑板的内容。今天的特色推荐会是什么呢？<br>你意识到自己在不知不觉中似乎已经被这座小城惬意亲切的氛围感染了。想起昨晚入睡前宫子告诉你她们会在厨房里吃早餐，你赶忙回过神来，简单收拾好床铺。<br><br>
NyantopiaFirstEvent_Continue2_option1,下楼到厨房
NyantopiaFirstEvent_Kitchen_desc,你在去厨房的路上注意到了更多关于这座房子的细节。墙面、小柜，甚至一些平时不会注意到的边边角角，到处都摆着温馨可爱的装饰，而且大部分看上去都是手工制作的。<br>通往厨房的纱门里飘出早饭的香味和烹饪时的叮叮当当声，你掀开蕾丝钩边的碎花短帘走进去。宫子正背对着你，在半包围式的灶台边搅动一口有着可爱草莓花样的小珐琅锅，铺着雏菊隔热垫的餐桌旁坐着一个绿眼睛的女孩，披散着一头齐腰的浓密黑发，发尾有点儿自来卷。<<he>>戴着一顶贴着塑料眼睛的粉红圆帽，在你进门的那一刻起就紧紧盯住了你。你注意到<<he>>的鼻子在你走近时微微抽动了一下，像小猫在嗅探一般。<br>“哦，早上好！”宫子转身看见了你，高兴地冲你笑笑。<<he>>戴着隔热手套，把锅从灶台上取下来，摆上隔热垫，“来吃点热腾腾的东西暖一暖吧。”<br>你坐下，宫子给你盛了一碗热腾腾的红豆甜粥，又递给你一只碟子，里面装着一份香蕉薄煎饼，表面的枫糖浆闪闪发亮。<br>“这是梅洛，我的妹妹，<<he>>还在本地的学校上学。”宫子拉开一张椅子，坐在你身边，向你介绍对面沉默着大嚼薄煎饼的绿眼睛女孩。<br>“……你好。”梅洛瞥了你一眼，那双没有情绪的绿眼睛投射出的视线让你感觉皮肤上微微发凉。你联想起玻璃橱窗里没有生命的漂亮宝石。<<he>>随后低头继续专心解决自己盘子里的食物。<br>你有点疑惑为什么宫子和梅洛看起来完全不像，但你不确定是否应该开口询问。宫子似乎看出了你的不解，<<he>>一边切开自己的那份薄煎饼，一边向你解释：“梅洛不是我的亲生妹妹，<<he>>是我收养的义妹。说来巧合，<<he>>和你一样，也是某一晚突然出现在附近，被我带回家来的呢。”<br>“我吃饱了。”梅洛不等你作出回应，就端起空盘子跳下餐椅，把餐具整齐地摆进水槽。你这才注意到<<he>>的个头非常娇小，却穿着一条过长的黑色校服褶裙，裙摆在<<he>>动作时轻轻扑打着<<he>>白嫩的小腿。<br>梅洛离开前凑到宫子面前，眯起眼睛蹭了蹭宫子的脸颊，宫子亲昵地替<<he>>把一绺鬈发别到耳后。随后梅洛头也不回地离开了厨房。<br>“那孩子不太爱说话，平时也没什么表情。但<<he>>其实是个容易害羞的善良的好孩子。”宫子在梅洛离开后悄声和你说。<br>你享用起宫子的手艺。煎饼松软香甜，红豆粥绵软稠糯，你感觉你的胃被温柔地撑了起来，像装了一只软软的小猫在里面睡觉。<br>等你吃完早饭，宫子站起身来，把碗碟收拾好：“希望食物合你胃口。”<<he>>打开水槽的龙头，“你可以先四下转转，熟悉一下环境什么的，过会儿我们在玄关旁边的工作室碰头。我想你大概也有些疑惑需要解答。”<br><br>
NyantopiaFirstEvent_Pavement_desc,你沿着广场走向一侧的人行道，祈祷能遇到一两个看上去正派点的能沟通的行人，起码能让你搞清楚现在身处何地。<br>你在路边拣定一张被漆成淡蓝色的行人长椅上坐了下来，木板在你身下轻微地嘎吱响。夜晚的海风吹在身上冷飕飕的，你用双臂抱住自己，感到一阵空落落的迷茫。<br>这时，你感到一阵毛绒绒的柔软触感淌过你的脚腕，你向下看去，发现是一只胖乎乎的三花猫。它冲你喵喵叫了一声后，自来熟地跳上了椅子，蹭到你旁边舒舒服服地蜷缩了起来。<br>你脑海中掠过了数双沿途在黑暗中看见的闪亮猫眼，这个小岛上猫咪的数量多得有些异乎寻常。怀抱着身处异国他乡的惶惑，你近乎感激地接受了这只三花猫的示好——它靠着你的部分暖烘烘的。<br>你盯着人行道的另一头，等待着可能出现的行人。这时月光挣脱了厚厚的云层，隙下几缕清淡光辉，你静静地抚摸着猫咪，感到紧张惊惧的情绪在它响亮的呼噜声中渐渐偃旗息鼓，而其后紧随着的疲惫如涨潮时的海水般渐渐漫上你的脚踝……进而是膝盖……腰腹……眼皮……<br>你累得睡着了。<br><br>
NyantopiaFirstEvent_Pavement_option1,昏睡<font color=""#88aaff""><u>……</u></font>
NyantopiaFirstEvent_Exanimation_desc,睡梦中，你迷迷糊糊地听见有人用柔软的声音对你讲话。你费力地撑开沉重的眼皮，一张陌生的面容模糊地闪过，草莓红的光彩像闪闪发光的宝石，在你的眼皮上印下温暖的光点。<br>你感觉到自己的眼皮在凉凉的夜风里滚烫得像包着两块小小的火炭。依稀有柔软的触感克制地挨了挨你的额头，但你在分辨清楚之前就陷入了高热的梦乡的更深处。<br><br>
NyantopiaFirstEvent_Exanimation_option1,好好睡一觉
NyantopiaFirstEvent_Goodsleep_desc,你醒来，感觉四肢酸软疲惫。撑开沉重的眼皮，你看见一片陌生的天花板。这里显然不是你昨晚吹着冷风昏睡过去的户外长椅，天花板粉刷得光洁平滑如奶油蛋糕，身下的触感绵软温暖，你的肚皮上还贴心地盖着一块嫩鹅黄色的毛线毯。<br>你费力地撑起身体，打量起周遭的环境。这是一间贴着青苹果绿墙纸的温馨小房间。房间打扫得很干净，临街的一面有一个显眼的大窗台，挂着米白色的窗帘。窗台上有一盆吊兰，叶子已经快垂到地上了。房间里只有你正躺着的简单的木床和一只五斗柜，中央摆着一只矮几和几个圆形的手工坐垫。<br><div>你陷入了对自己处境的怀疑之中，这是某种睁眼即位移的多重梦境，或是某个恶趣味富人策划的整蛊真人秀？<br>正当你一头雾水之际传来了门把手转动的声音，一位系着围裙的女性走了进来。“噢，你醒了！”<<he>>发自内心地冲你宽慰一笑，你意识到可能是<<he>>昨晚收留了你。<<he>>有着草莓红的眼睛，黑发绾在脸颊两侧，在光线里闪烁着丝缎般的光泽。“我昨晚在回家的路上看到你一个人睡在长椅上，还发着烧，就自作主张带你回来了……你叫我宫子就好！”<br>你一时之间不知道是为<<he>>一己之力把你运到了这张床上感到诧异，还是为自己的运气感到庆幸，毕竟以往晕倒在街上的时候，你可从来没有如此体面地在一张干净的床上醒来过。你向<<he>>道了谢，感谢<<he>>收留了你。<br>“请别在意，你没事就好！”<<he>>突然微微俯身靠近你，在你反应过来之前用右手轻轻撩起了你的额发——你一下子就知道了昨晚你模模糊糊感受到的温柔触抚来自于谁。宫子微微半阖着眼，用自己的额头轻轻碰了碰你的额头，你能感觉到她鸦羽一样的睫毛柔软地扫过你的皮肤。“好棒，已经退烧了。”<<he>>毫不吝惜地微笑着夸奖你，向后退开一步，“或许你愿意和我谈谈为什么会一个人深夜昏睡在路边？”<br>宫子对你非常亲切，<<he>>柔软体贴的态度令你感觉心脏像泡在暖洋洋的温水中。这样的善意在你过去的生活里可并不多见。但<<he>>毕竟是个陌生人，你应该相信<<he>>吗？<br><br>
NyantopiaFirstEvent_Goodsleep_option1,向<<he>>求助
NyantopiaFirstEvent_Goodsleep_option2,一言不发
NyantopiaFirstEvent_Askforhelp_desc,你向<<he>>略去了时空穿越或多重梦境这些你的猜想中难以解释的部分，坦白了自己身无分文又无处可去的事实现状。<<he>>理解而同情地点了点头：“真可怜，”<<he>>叹了口气，“和我们呆在一起吧，你想在这里呆多久都可以。”<br>你简直不敢相信<<he>>就这样轻而易举地决定要长期收留你。但<<he>>却一副对此习以为常的样子，“我正在煮早餐呢，厨房在房子一楼后面小花园的方向。二楼没有浴室，你得去一楼才能洗漱。收拾好了的话，你可以来和我们一起吃早饭——我正好可以把我的妹妹介绍给你。”<<he>>匆匆看了眼手表，不等你答话，就嘟囔着有点着急地小步快走着离开了。出房门前<<he>>探过头来给你一个安抚的微笑，随后你听到一串轻快的哒哒下楼声。<br>
NyantopiaFirstEvent_Askforhelp_option1,下楼到厨房
NyantopiaFirstEvent_Keepsilent_desc,你并不信任<<he>>，因此你犹豫了一下，选择保持沉默。<<he>>体贴地眨眨眼，并没有为难你：“没关系，不想说就不说好了，每个人都会遇到难处的。”<<he>>安慰地轻拍你的肩膀，“不过如果没地方去的话，你可以继续呆在这里。”<br>你简直不敢相信<<he>>就这样轻而易举地决定要长期收留你。但<<he>>却一副对此习以为常的样子，“我正在煮早餐呢，厨房在房子一楼后面小花园的方向。二楼没有浴室，你得去一楼才能洗漱。收拾好了的话，你可以来和我们一起吃早饭——我正好可以把我的妹妹介绍给你。”<<he>>匆匆看了眼手表，不等你答话，就嘟囔着有点着急地小步快走着离开了。你听到一串轻快的哒哒下楼声。<br>
